       Potato Crisps | 3 SOLD
            Stackers | 0 SOLD
         Grain Waves | 0 SOLD
       Cloud Popcorn | 0 SOLD
             Moonpie | 0 SOLD
            Cowtales | 0 SOLD
           Wonka Bar | 0 SOLD
            Crunchie | 0 SOLD
                Cola | 0 SOLD
            Dr. Salt | 0 SOLD
     Mountain Melter | 0 SOLD
               Heavy | 0 SOLD
             U-Chews | 0 SOLD
  Little League Chew | 0 SOLD
            Chiclets | 0 SOLD
          Triplemint | 0 SOLD


***TOTAL SALES*** $9.15     
